window_from,window_to,event_type,source_topics,target_topics,similarity,topic_count
window_2016_2017,window_2018_2019,survival,[np.int64(0)],[np.int64(30)],0.980250096061884,1
window_2016_2017,window_2018_2019,survival,[np.int64(1)],[np.int64(10)],0.9419872254287263,1
window_2016_2017,window_2018_2019,survival,[np.int64(3)],[np.int64(47)],0.9629478557275266,1
window_2016_2017,window_2018_2019,survival,[np.int64(4)],[np.int64(19)],0.995187463262453,1
window_2016_2017,window_2018_2019,survival,[np.int64(5)],[np.int64(24)],0.9756534241106761,1
window_2016_2017,window_2018_2019,survival,[np.int64(7)],[np.int64(8)],0.9483177490105306,1
window_2016_2017,window_2018_2019,survival,[np.int64(8)],[np.int64(43)],0.8950857185210986,1
window_2016_2017,window_2018_2019,survival,[np.int64(10)],[np.int64(12)],0.9746325776614894,1
window_2016_2017,window_2018_2019,survival,[np.int64(12)],[np.int64(29)],0.7317072114187486,1
window_2016_2017,window_2018_2019,survival,[np.int64(14)],[np.int64(31)],0.9934805906892337,1
window_2016_2017,window_2018_2019,survival,[np.int64(16)],[np.int64(27)],0.7100528170796966,1
window_2016_2017,window_2018_2019,survival,[np.int64(17)],[np.int64(35)],0.914275622947597,1
window_2016_2017,window_2018_2019,survival,[np.int64(18)],[np.int64(21)],0.9890752158919168,1
window_2016_2017,window_2018_2019,survival,[np.int64(20)],[np.int64(6)],0.9121207717504165,1
window_2016_2017,window_2018_2019,survival,[np.int64(21)],[np.int64(33)],0.9804364030827237,1
window_2016_2017,window_2018_2019,survival,[np.int64(22)],[np.int64(11)],0.9717346525074557,1
window_2016_2017,window_2018_2019,survival,[np.int64(23)],[np.int64(3)],0.9870076514586916,1
window_2016_2017,window_2018_2019,survival,[np.int64(24)],[np.int64(25)],0.9602969098105181,1
window_2016_2017,window_2018_2019,survival,[np.int64(25)],[np.int64(9)],0.9527516300718981,1
window_2016_2017,window_2018_2019,survival,[np.int64(26)],[np.int64(41)],0.9887423916607471,1
window_2016_2017,window_2018_2019,survival,[np.int64(27)],[np.int64(48)],0.9828554771898779,1
window_2016_2017,window_2018_2019,survival,[np.int64(28)],[np.int64(37)],0.9246424009229912,1
window_2016_2017,window_2018_2019,survival,[np.int64(29)],[np.int64(5)],0.9733641582595526,1
window_2016_2017,window_2018_2019,survival,[np.int64(30)],[np.int64(20)],0.8576693635107902,1
window_2016_2017,window_2018_2019,survival,[np.int64(31)],[np.int64(23)],0.9690734177917173,1
window_2016_2017,window_2018_2019,survival,[np.int64(32)],[np.int64(36)],0.9798440834110606,1
window_2016_2017,window_2018_2019,survival,[np.int64(34)],[np.int64(38)],0.9529395063400103,1
window_2016_2017,window_2018_2019,survival,[np.int64(35)],[np.int64(45)],0.9175379020853606,1
window_2016_2017,window_2018_2019,survival,[np.int64(36)],[np.int64(49)],0.7199329106240283,1
window_2016_2017,window_2018_2019,survival,[np.int64(37)],[np.int64(34)],0.7066958302160241,1
window_2016_2017,window_2018_2019,survival,[np.int64(38)],[np.int64(16)],0.7029368955879368,1
window_2016_2017,window_2018_2019,survival,[np.int64(39)],[np.int64(39)],0.9490098587150048,1
window_2016_2017,window_2018_2019,survival,[np.int64(40)],[np.int64(18)],0.7723166356746595,1
window_2016_2017,window_2018_2019,survival,[np.int64(41)],[np.int64(15)],0.7031027163049001,1
window_2016_2017,window_2018_2019,survival,[np.int64(43)],[np.int64(17)],0.9456963822697205,1
